"NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY"
5105050000,0,1,"Neptuneidae (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050200,71769,1,"Beringius sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050301,71726,1,"Colus spitzbergensis (thick ribbed colus)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050321,71731,1,"Colus halli (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050800,71800,1,"Neptunea sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050801,71870,1,"Neptunea lyrata",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050805,71820,1,"Neptunea pribiloffensis (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050810,71884,1,"Neptunea heros (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5105050911,71893,1,"Plicifusus brunneus",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5108010200,0,1,"Turbonilla sp. (snail)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5108999999,0,1,"pelagic snails",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5.109e+09,0,1,"Pteropoda",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5110040200,0,1,"Cylichna sp. (snail)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5.113e+09,0,1,"Thecosomata (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5113010100,0,1,"Limacina",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5113010102,0,1,"Limacina helicina (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5.125e+09,0,1,"Gymnosomata (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5125060100,0,1,"Clione sp. (Pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5125060101,0,1,"Clione limacina (pteropod)",0,NA,"MISC. PREY","Pteropod","Pteropod",NA,"MISC. ZOOP",NA,"Pteropod"
5.127e+09,71010,1,"Nudibranchia (sea slug)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5.134e+09,0,1,"Dendronotoidea (nudibranch)",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5.3e+09,70100,1,"Polyplacophora",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5.4e+09,0,1,"Aplacophora",0,NA,"MISC. PREY","Snail","Snail",NA,"EPIFAUNA",NA,"EPIFAUNA"
5.5e+09,74000,1,"Bivalvia (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5.502e+09,0,1,"Nuculoida (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502020000,0,1,"Nuculidae",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502020200,74332,1,"Nucula sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502020201,74333,1,"Nucula tenuis (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040000,0,1,"Nuculanidae (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040200,74435,1,"Nuculana sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040203,74439,1,"Nuculana fossa (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040500,0,1,"Yoldia sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040504,0,1,"Yoldia scissurata (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040510,0,1,"Yoldia montereyensis (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5502040600,0,1,"Yoldiella sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5504010100,0,1,"Solemya sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5507010000,74050,1,"Mytilidae (mussel)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5507010601,74060,1,"Modiolus modiolus (Horse mussel)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5509050000,74100,1,"Pectinidae (scallops)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5509050100,74104,1,"Chlamys sp. (scallop)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5509050200,74176,1,"Cyclopecten sp. (scallop)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5509050400,0,1,"Pecten sp. (scallop)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5509090101,75600,1,"Pododesmus macrochisma (rock jingle)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5.515e+09,0,1,"Veneroida (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515010000,0,1,"Lucinidae (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515010300,0,1,"Lucina sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515100201,0,1,"Odontogena borealis (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515170100,74656,1,"Cyclocardia sp. (cardita clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515170102,74655,1,"Cyclocardia crebricostata (thickribbed cardita)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515170105,74654,1,"Cyclocardia crassidens",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515190100,74640,1,"Astarte sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515220000,0,1,"Cardiidae (cockles)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515220100,74980,1,"Clinocardium sp. (cockle)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515220101,74983,1,"Clinocardium ciliatum (Iceland cockle)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515220201,0,1,"Serripes groenlandicus (Greenland cockle)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515220701,0,1,"Trachycardium muricatum (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515250100,0,1,"Spisula sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515250101,0,1,"Spisula polynyma (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515250200,0,1,"Tresus sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515290100,0,1,"Siliqua sp.(razor clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515290102,0,1,"Siliqua alta (northern razor clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515310000,0,1,"Tellinidae (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515310100,75240,1,"Macoma sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515310200,0,1,"Tellina sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5515470800,0,1,"Tapes sp. (Manila clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5517010000,0,1,"Myidae (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5517010200,75330,1,"Mya sp. (soft shell clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5520100100,75551,1,"Cardiomya sp. (clam)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5.6e+09,0,1,"Scaphopoda",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5602040100,77015,1,"Cadulus sp. (scaphopod)",0,NA,"MISC. PREY","Clam","Clam",NA,"INFAUNA",NA,"INFAUNA"
5.7e+09,78000,1,"Cephalopoda (squid and octopus)",0,NA,"MISC. PREY","Gen. Cephalopod","Gen. Cephalopod",NA,"CEPHALOPOD",NA,"CEPHALOPOD"
5704020101,0,1,"Rossia pacifica (eastern Pacific bobtail)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5.705e+09,0,1,"Teuthida (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5.706e+09,0,1,"Myopsida (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5706010000,0,1,"Loliginidae (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5706010100,0,1,"Loligo sp. (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5706010101,0,1,"Loligo opalescens (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5.707e+09,0,1,"Oegopsida (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707020103,79352,1,"Abraliopsis felis (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030000,79199,1,"Gonatidae (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030100,79250,1,"Gonatopsis sp. (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030102,79252,1,"Gonatopsis borealis (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030200,79200,1,"Gonatus sp. (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030202,0,1,"Gonatus magister (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030205,79202,1,"Gonatus berryi (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030206,79201,1,"Gonatus onyx (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030207,79211,1,"Berryteuthis anonychus (formerly Gonatus)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030300,0,1,"Berryteuthis sp. (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707030301,79210,1,"Berryteuthis magister (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707040100,0,1,"Octopoteuthis sp. (octopopteuthid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707040103,79504,1,"Octopoteuthis deletron (octopoteuthid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707050000,0,1,"Onychoteuthidae",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707050101,79302,1,"Moroteuthis robusta (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707050200,0,1,"Onychoteuthis sp. (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707050203,78312,1,"Onychoteuthis borealijaponica (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707110100,79509,1,"Histeoteuthis sp. (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707110107,79510,1,"Histioteuthis heteropsis (histiotheuthid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707150402,79260,1,"Ommastrephes bartrami (neon flying Squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707150501,79365,1,"Dosidicus gigas (giant squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707170100,79403,1,"Chirotheuthis sp. (chiroteuthid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707170103,79404,1,"Chirotheuthis calyx (chirotheuthid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707230301,0,1,"Taonius pavo (squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707230800,0,1,"Galiteathis sp. (cranchiid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707230901,79443,1,"Belonella borealis (cranchiid squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5707240101,0,1,"Vampycoteuthis infernalis (vampire squid)",0,NA,"MISC. PREY","Squid","Squid",NA,"CEPHALOPOD",NA,"Squid"
5.708e+09,0,1,"Octopoda (octopus)",0,NA,"MISC. PREY","Octopus","Octopus",NA,"CEPHALOPOD",NA,"Octopus"
5708010000,78010,1,"Octopodidae (octopus)",0,NA,"MISC. PREY","Octopus","Octopus",NA,"CEPHALOPOD",NA,"Octopus"
5708010199,78012,1,"Benthoctopus leioderma",0,NA,"MISC. PREY","Octopus","Octopus",NA,"CEPHALOPOD",NA,"Octopus"
5708010200,78020,1,"Octopus sp. (octopus)",0,NA,"MISC. PREY","Octopus","Octopus",NA,"CEPHALOPOD",NA,"Octopus"
5708010201,0,1,"Octopus dofleini (giant Pacific octopus)",0,NA,"MISC. PREY","Octopus","Octopus",NA,"CEPHALOPOD",NA,"Octopus"
5708020102,78021,1,"Japatella heathi (octopod)",0,NA,"MISC. PREY","Octopus","Octopus",NA,"CEPHALOPOD",NA,"Octopus"
5.9e+09,0,1,"Arachnida",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
5.905e+09,0,1,"Scorpiones",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6e+09,69900,1,"Pycnogonida (sea spider)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6.1e+09,60001,1,"Crustacea",0,NA,"MISC. PREY","Gen. Crustacea","Gen. Crustacea",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6109050000,0,1,"Polyphemidae (cladoceran)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6.11e+09,0,1,"Ostracoda",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6.111e+09,0,1,"Myodocopa (ostracoda)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6111020300,0,1,"Cypridina sp (Ostracoda)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6111030000,0,1,"Cylindroleberididae (ostracod)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6111050100,0,1,"Conchoecia sp. (Ostracoda)",0,NA,"MISC. PREY","Misc. Crustacean","Misc. Crustacean",NA,"MISC. ZOOP",NA,"MISC. ZOOP"
6.117e+09,64500,1,"Copepoda",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Copepod"
6.118e+09,0,1,"Calanoida (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Copepod"
6118010000,0,1,"Calanidae (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Copepod"
6118010200,0,1,"Calanus sp.",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Calanus"
6118010203,0,1,"Calanus glacialis",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Calanus"
6118010204,0,1,"Calanus marshallae (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Calanus"
6118010205,0,1,"Calanus pacificus (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Calanus"
6118010400,0,1,"Neocalanus sp. (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Neocalanus"
6118010403,0,1,"Neocalanus cristatus (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Neocalanus"
6118010404,0,1,"Neocalanus plumchrus (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP Neocalanus"
6118019900,0,1,"Mesocalanus sp.",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"Mesocalanus"
6118030000,0,1,"Eucalanidae (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"Eucalanidae"
6118030100,0,1,"Eucalanus sp. (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"Eucalanidae"
6118030102,0,1,"Eucalanus bungii (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"Eucalanidae"
6118030200,0,1,"Rhincalanus sp. (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP other"
6118040100,0,1,"Paracalanus sp. (copepod)",0,NA,"MISC. PREY","Copepod","Copepod",NA,"Copepod",NA,"COP other"
