"Field","Description"
"SUPERFAMILY_TAXON","Phylogenetic latin rank of superfamily of a given species."
"SUPERORDER_TAXON","Phylogenetic latin rank of superorder of a given species."
"SURFACE_TEMPERATURE_C","Surface temperature (tenths of a degree Celsius); NA indicates removed or missing values."
"SURVEY","Name and description of survey. The column 'survey' is associated with the 'srvy' and 'survey_definition_id' columns."
"AGE_DETERMINATION_METHOD","Numeric code corresponding to the method of age determination. For a complete list of age determination codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SURVEY_NAME","Long name of the survey conducted"
"AREAJOIN","Area polygon ID number from shapefile. Area join relates to a specific polygon version for a 'SURVEY_DEFINITION_ID', 'DESIGN_YEAR', and 'AREA_ID'. In this code, the first three characters for SURVEY_DEFINITION_ID, the following five characters refer to the AREA_ID/STRATUM, the following ten characters refer to station, if applicable (if not ""0000000000"" will be used), and the last four characters represent the DESIGN_YEAR."
"POLYGON_TEXT","Well-known text (WKT) representation of geometry for a AREA_JOIN polygon. WKT is a text markup language for representing vector geometry objects."
"POLYGON_BINARY","Well-known binary (WKB) representation of geometry for a AREA_JOIN polygon. WKB is used to transfer and store the same information in a more compact form convenient for computer processing but that is not human-readable."
"SURVEY_DEFINITION_ID","The survey definition ID key code uniquely identifies a survey/survey design. Integer code that uniquely identifies survey. Full list of survey definition IDs are in RACE_DATA.SURVEY_DEFINITIONS. IDs used in GAP_PRODUCTS are: 47 (Gulf of Alaska); 52 (Aleutian Islands); 78 (Bering Sea Slope); 98 (Eastern Bering Sea Shelf); 143 (Northern Bering Sea Shelf). The column 'survey_definition_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SURVEY_ID","The survey ID uniquely identifies a survey instance."
"SURVEY_SPECIES","Designates whether or not species name is accepted/actively used in the RACE surveys"
"TAXON_CONFIDENCE","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
"TAXON_CONFIDENCE_CODE","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
"TRAWLABLE","Logical, describing if stations are trawlable (TRUE) or not (FALSE)."
"VESSEL_CALLSIGN","A call sign is a designated sequence of letters and numbers that are assigned when a vessel, whether it be a sailing yacht, motor yacht, rib or commercial vessel, receives it's Ship Radio Licence. The vessel also receives it's MMSI number, so that each vessel is uniquely identified."
"VESSEL_COAST_GUARD_NUMBER","Official Identification number as defined by www.dco.uscg.mil. The Official Number (O/N) is the 6 or 7 digit number awarded to the vessel at the time it is first documented with the US Coast Guard. This number remains with the vessel indefinitely and should be marked in accordance with 46 CFR 67.121."
"VESSEL_ID","ID number of the vessel used to collect data for that haul. The column 'vessel_id' is associated with the 'vessel_name' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"VESSEL_IMO","The International Maritime Organization (IMO) number consists of the letters ""IMO"" followed by a unique, seven-digit number: the pattern is ""NNNNNNN"", where N is a single-digit number, e.g., ""1234567"""
"VESSEL_LENGTH_M","The length of vessel in meters."
"VESSEL_MMSI","Maritime Mobile Service Identities (MMSIs) are nine-digit numbers used by maritime digital selective calling (DSC), automatic identification systems (AIS) and certain other equipment to uniquely identify a ship or a coast radio station."
"VESSEL_NAME","Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"VESSEL_OWNER","Name of vessel owner or company."
"VESSEL_TONNAGE","The tonnage of vessel in metric tons."
"VOUCHER","The voucher number of the specimen within a single haul"
"WEIGHT_G","Weight of specimen (grams)."
"WEIGHT_KG","Weight (thousandths of a kilogram) of individuals in a haul by taxon."
"WIRE_LENGTH_M","Length of wire deployed during a given haul in meters."
"WORMS","Species code as identified in the World Register of Marine Species (WoRMS) (https://www.marinespecies.org/)."
"YEAR","Year the observation (survey) was collected."
"AGE","Age bin of taxon. Age bin of a taxon in years estimated by the age comp estimate."
"DATE_END","The date (YYYY-MM-DD) of the end of the event (e.g., cruise)."
"DATE_START","The date (YYYY-MM-DD) of the beginning of the event (e.g., cruise)."
"DATE_TIME","The date (MM/DD/YYYY) and time (HH:MM) of the haul. All dates and times are in Alaska time (AKDT) of Anchorage, AK, USA (UTC/GMT -8 hours)."
"DATE_TIME_END","The date (MM/DD/YYYY) and time (HH:MM) of the end of the haul. All dates and times are in Alaska time (AKDT) of Anchorage, AK, USA (UTC/GMT -8 hours)."
"DATE_TIME_START","The date (MM/DD/YYYY) and time (HH:MM) of the beginning of the haul. All dates and times are in Alaska time (AKDT) of Anchorage, AK, USA (UTC/GMT -8 hours)."
"DEPTH_GEAR_M","Depth of gear (meters)."
"DEPTH_M","Bottom depth (meters)."
"DEPTH_MAX_M","Maximum depth (meters)."
"DEPTH_MIN_M","Minimum depth (meters)."
"DESCRIPTION","Description of row observation."
"DESIGN_YEAR","Year ID associated with a given value AREA_ID. This field describes the changes in the survey design over time."
"DISPOSITION","Chemical specimen currently stored in"
"DISTANCE_FISHED_KM","Distance the net fished (thousands of kilometers)."
"DUMMY","dummy"
"DURATION_HR","This is the elapsed time between start and end of a haul (decimal hours)."
"FAMILY_TAXON","Phylogenetic latin rank of family of a given species."
"FREQUENCY","Frequency, or count, of an observation."
"GEAR","Type of gear used on net. For a complete list of gear ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"GEAR_DEPTH_M","Depth gear was deployed at (tenths of a meter). Gear depth plus net height equals bottom depth."
"GEAR_ID","Type of trawl or gear deployed. For a complete list of vessel gear type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"GEAR_TEMPERATURE_C","Temperature recorded by net gear (tenths of a degree Celsius); NA indicates removed or missing values."
"GENUS_TAXON","Phylogenetic latin rank of genus of a given species."
"GONAD_G","Weight of specimen gonads (grams)."
"HAUL","This number uniquely identifies a sampling event (haul) within a cruise. It is a sequential number, in chronological order of occurrence."
"HAUL_TYPE","Type of haul sampling method. For a complete list of haul type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"HAULJOIN","This is a unique numeric identifier assigned to each (vessel, cruise, and haul) combination."
"TAXONOMIST","Taxonomist(s) who re-identified specimen(s)"
"ID_RANK","Lowest taxonomic rank of a given species entry."
"ITIS","Species code as identified in the Integrated Taxonomic Information System (https://itis.gov/)."
"KINGDOM_TAXON","Phylogenetic latin rank of kingdom of a given species."
"LATITUDE_DD","Latitude (one hundred thousandth of a decimal degree)."
"LATITUDE_DD_END","Latitude (one hundred thousandth of a decimal degree) of the end of the haul."
"LATITUDE_DD_START","Latitude (one hundred thousandth of a decimal degree) of the start of the haul."
"LENGTH_MM","Length bin in millimeters."
"LENGTH_MM_MEAN","Mean length (millimeters)"
"LENGTH_MM_SD","Variance of mean length."
"LENGTH_TYPE","How the taxon was measured (e.g., fork length, carapace width). For a complete list of length_type ID key codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"LONGITUDE_DD","Longitude (one hundred thousandth of a decimal degree)."
"LONGITUDE_DD_END","Longitude (one hundred thousandth of a decimal degree) of the end of the haul."
"LONGITUDE_DD_START","Longitude (one hundred thousandth of a decimal degree) of the start of the haul."
"MATURITY","The maturity code or the condition identified by the maturity code."
"METADATA_COLNAME","Name of the column in a table."
"METADATA_COLNAME_DESC","Description of the column."
"METADATA_COLNAME_LONG","Long name for the column."
"METADATA_DATATYPE","Oracle data type of data column."
"METADATA_SENTENCE","Table metadata sentence."
"METADATA_SENTENCE_NAME","Name of table metadata sentence."
"METADATA_SENTENCE_TYPE","Type of sentence to have in table metadata."
"METADATA_UNITS","Units of the column."
"N_COUNT","Total number of hauls with positive count data."
"N_HAUL","Total number of hauls."
"N_LENGTH","Total number of hauls with length data."
"N_SPECIMENS","Number of specimens in the voucher lot"
"N_WEIGHT","Total number of hauls with positive catch biomass."
