"Field","Description"
"COMMON_NAME","The common name of the marine organism associated with the 'scientific_name' and 'species_code' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"COUNT","Total number of individuals caught in haul by taxon, represented in whole numbers used in calculation."
"N_WEIGHT","Total number of hauls with positive catch/weighed taxon data used in calculation."
"N_COUNT","Total number of hauls with positive taxon counts used in calculation."
"N_HAUL","Total number of valid hauls used in calculation."
"N_LENGTH","Total number of hauls with taxon length data used in calculation."
"COUNTRY_ID","Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"CPUE_KGHA","Catch weight (kilograms) divided by area (hectares) swept by the net."
"CPUE_KGKM2","Catch weight (kilograms) divided by area (squared kilometers) swept by the net."
"CPUE_KGKM2_MEAN","The mean of catch weight (kilograms) divided by area (squared kilometers) swept by the net used in design-based indicie calculation."
"CPUE_KGKM2_VAR","The variance of mean of catch weight (kilograms) divided by area (squared kilometers) swept by the net used in design-based indicie calculation."
"CPUE_NOHA","Catch number (in number of organisms) per area (hectares) swept by the net."
"CPUE_NOKM2","Catch number (in number of organisms) per area (squared kilometers) swept by the net."
"CPUE_NOKM2_MEAN","The mean of catch count (number) divided by area (squared kilometers) swept by the net used in design-based indicie calculation."
"CPUE_NOKM2_VAR","The variance of mMean of catch count (number) divided by area (squared kilometers) swept by the net used in design-based indicie calculation."
"CRS","Coordinate reference system that areas (like AREA_KM2) are calculated in, as defined by https://spatialreference.org/ (e.g., ""+proj=longlat"", ""EPSG:3338"")."
"CRUISE","This is a six-digit number identifying the cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.)."
"CRUISEJOIN","This is a unique numeric identifier assigned to each survey, vessel, and year combination."
"DATABASE","Taxonomic database source (e.g., ""ITIS"", ""WORMS"")."
"DATABASE_ID","Species ID code of a species in the taxonomic ""DATABASE"" source."
"DEPTH_M","Bottom depth (tenths of a meter)."
"DEPTH_MAX_M","Maximum depth (meters) of the area covered by AREA_ID."
"DEPTH_MIN_M","Minimum depth (meters) of the area covered by AREA_ID."
"DESCRIPTION","Description of row observation."
"DESIGN_YEAR","The year the survey area stratum (e.g., statistical stratum, summary area, region) was implimented in."
"DISTANCE_FISHED_KM","Distance the net fished (thousandths of kilometers)."
"DUMMY","dummy"
"DURATION_HR","This is the elapsed time between start and end of a haul (decimal hours)."
"FAMILY","Phylogenetic latin rank of family of a given species."
"GEAR_DEPTH_M","Depth gear was deployed at (tenths of a meter). Gear depth plus net height equals bottom depth."
"GEAR_ID","Type of trawl or gear deployed. For a complete list of vessel gear type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"GENUS_TAXON","Phylogenetic latin rank of genus_taxon of a given species."
"HAUL","This number uniquely identifies a sampling event (haul) within a cruise. It is a sequential number, in chronological order of occurrence."
"HAUL_TYPE","Type of haul sampling method. For a complete list of haul type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"HAULJOIN","This is a unique numeric identifier assigned to each (vessel, cruise, and haul) combination."
"ID_RANK","Lowest taxonomic rank of a given species entry."
"ITIS","Species code as identified in the Integrated Taxonomic Information System (https://itis.gov/)."
"KINGDOM_TAXON","Phylogenetic latin rank of kingdom_taxon of a given species."
"LATITUDE_DD","Latitude (one hundred thousandth of a decimal degree)."
"LATITUDE_DD_END","Latitude (one hundred thousandth of a decimal degree) of the end of the haul."
"LATITUDE_DD_START","Latitude (one hundred thousandth of a decimal degree) of the start of the haul."
"LENGTH_MM","Length of a specimen in millimeters."
"LENGTH_MM_MEAN","Mean length estimated in age comp estimate."
"LENGTH_MM_SD","Variance of mean length estimated in age comp estimate."
"LONGITUDE_DD","Longitude (one hundred thousandth of a decimal degree)."
"LONGITUDE_DD_END","Longitude (one hundred thousandth of a decimal degree) of the end of the haul."
"LONGITUDE_DD_START","Longitude (one hundred thousandth of a decimal degree) of the start of the haul."
"METADATA_COLNAME","Name of the column in a table."
"METADATA_COLNAME_DESC","Descritpion of the column."
"METADATA_COLNAME_LONG","Long name for the column."
"METADATA_SENTENCE","Table metadata sentence."
"METADATA_SENTENCE_NAME","Name of table metadata sentence."
"METADATA_SENTENCE_TYPE","Type of sentence to have in table metadata."
"METADATA_UNITS","Units of the column."
"NET_HEIGHT_M","Measured or estimated distance (meters) between footrope and headrope of the trawl."
"NET_MEASURED","Logical, describing if the net was measured (TRUE) or not (FALSE) by wheelhouse and marport programs during the haul."
"NET_WIDTH_M","Measured or estimated distance (meters) between wingtips of the trawl."
"ORDER_TAXON","Phylogenetic latin rank of order_taxon of a given species."
"PERFORMANCE","This denotes what, if any, issues arose during the haul. For more information, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"PHYLUM_TAXON","Phylogenetic latin rank of phylum_taxon of a given species."
"POPULATION_CI_LOWER","The estimated population lower confidence interval caught in the survey for a species, group, or total for a given survey."
"POPULATION_CI_UPPER","The estimated population upper confidence interval caught in the survey for a species, group, or total for a given survey."
"POPULATION_COUNT","The estimated population caught in the survey for a species, group, or total for a given survey."
"POPULATION_DF","The estimated population degrees of freedom caught in the survey for a species, group, or total for a given survey."
"POPULATION_VAR","The estimated population variance caught in the survey for a species, group, or total for a given survey."
"PRINCIPAL_INVESTIGATOR","First and last name of principle investigator for a project."
"PROJECT_TITLE","Special project title."
"PROJECT_TITLE_SHORT","Special project short title (short version of PROJECT_TITLE)."
"REASON","Description of species' naming status (e.g., ""synonym"", ""preoccupied"",""misspelling"" )"
"SCIENTIFIC_NAME","The scientific name of the organism associated with the 'common_name' and 'species_code' columns. For a complete taxon list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SEX","Sex of a specimen where ""1"" = ""Male"", ""2"" = ""Female"", ""3"" = Unsexed."
"SPECIES_CODE","The species code of the organism associated with the 'common_name' and 'scientific_name' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SPECIES_NAME_ACCEPTED","Scientific name of species used in taxonomic ""DATABASE"" column."
"SPECIES_NAME_SURVEY","Scientific name of species historically or currently used in the survey."
"SRVY","Abbreviated survey names. The column 'srvy' is associated with the 'survey' and 'survey_id' columns. Northern Bering Sea (NBS), Southeastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), Aleutian Islands (AI)."
"STATION","Alpha-numeric designation for the station established in the design of a survey."
"STRATUM","RACE database statistical area for analyzing data. Strata were designed using bathymetry and other geographic and habitat-related elements. The strata are unique to each survey series. Stratum of value 0 indicates experimental tows."
"SUBCLASS_TAXON","Phylogenetic latin rank of subclass_taxon of a given species."
"SUBFAMILY_TAXON","Phylogenetic latin rank of subfamily_taxon of a given species."
"SUBMISSION_DATE","Date special projects were due to be submitted for the upcoming survey season."
"SUBORDER_TAXON","Phylogenetic latin rank of suborder_taxon of a given species."
"SUBPHYLUM_TAXON","Phylogenetic latin rank of subphylum_taxon of a given species."
"SUPERCLASS_TAXON","Phylogenetic latin rank of superclass_taxon of a given species."
"SUPERFAMILY_TAXON","Phylogenetic latin rank of superfamily_taxon of a given species."
"SUPERORDER","Phylogenetic latin rank of superorder of a given species."
"SURFACE_TEMPERATURE_C","Surface temperature (tenths of a degree Celsius); NA indicates removed or missing values."
"SURVEY","Name and description of survey. The column 'survey' is associated with the 'srvy' and 'survey_id' columns."
"SURVEY_DEFINITION_ID","This number uniquely identifies a survey. Name and description of survey. The column 'survey_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"SURVEY_ID","This number uniquely identifies a survey. Name and description of survey. The column 'survey_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
"TRAWLABLE","Logical, describing if stations are trawlable (TRUE) or not (FALSE)."
"TAXON_CONFIDENCE","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
"TAXON_CONFIDENCE_CODE","Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf)."
